ObjectID,GlobalID,Minute,4-Letter Species Code,Radial Distance (m),How Detected?,Direction,Song Also?,Visual ID,Sex,Migrant,Number of Birds in Group,Next Observation,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,f827c72e-4ee5-4c5b-b35a-f6cbbccb271d,1,WEME,26,S,N,,,U,,,,333d25a8-d562-4d66-a80b-c3187488b765,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
2,c5e3e549-9665-4447-a599-2a51c373fe2a,1,BRSP,31,S,NW,,,U,,,,333d25a8-d562-4d66-a80b-c3187488b765,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
3,8a91b694-8253-4d7f-88d0-b86752c8e8bd,1,VESP,27,S,NW,,,U,,,,333d25a8-d562-4d66-a80b-c3187488b765,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
4,60939e1c-b45c-432e-a0ce-6adbd7c8dec5,1,WEME,56,S,S,,,U,,,,333d25a8-d562-4d66-a80b-c3187488b765,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
5,c39dff9e-1aea-4534-8cfe-bc508229a188,2,VESP,20,S,SE,,,U,,,,333d25a8-d562-4d66-a80b-c3187488b765,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
6,0a3a7b6a-1646-4306-b0d5-e5e89b77a8b5,1,WEME,26,S,SE,,,U,,,,333d25a8-d562-4d66-a80b-c3187488b765,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
7,7a19c4ae-0961-4570-877f-efda6c840d72,3,WEME,32,S,SE,,,U,,,,333d25a8-d562-4d66-a80b-c3187488b765,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
8,928e916c-b2eb-4845-b1c6-dcdab05bd5f8,4,BRSP,32,S,W,,,U,,,,333d25a8-d562-4d66-a80b-c3187488b765,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
9,3a220c1b-4536-4f83-a553-1367a3d1151d,4,PIJA,500,S,N,,V,U,,,,333d25a8-d562-4d66-a80b-c3187488b765,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
10,05d730f9-f5cd-4ca2-ac5d-a6043cf56602,5,VESP,32,S,N,,,U,,,,333d25a8-d562-4d66-a80b-c3187488b765,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
11,37c62e03-f778-4c0f-b4ab-606b236f5100,6,NOBI,,,,,,,,,,333d25a8-d562-4d66-a80b-c3187488b765,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
12,fb5e76b7-d353-4d94-8f1d-f821d12e07de,1,VESP,27,S,S,,,U,,,,24a6ec2c-ce1d-4ad8-8d5a-dd65b8c5b52c,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
13,18b35be6-9c3a-4751-8aed-a1e74ad19d09,1,WEME,34,S,NE,,,U,,,,24a6ec2c-ce1d-4ad8-8d5a-dd65b8c5b52c,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
14,fd26383a-9654-42f7-ab42-72d48d8da2e0,1,WEME,21,S,W,,,U,,,,24a6ec2c-ce1d-4ad8-8d5a-dd65b8c5b52c,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
15,2b48107a-9574-4452-98c7-7be5a480d4be,1,VESP,40,S,W,,,U,,,,24a6ec2c-ce1d-4ad8-8d5a-dd65b8c5b52c,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
16,a54da033-bcc9-410b-aa80-4af6a144b048,4,WEME,84,S,NW,,,U,,,,24a6ec2c-ce1d-4ad8-8d5a-dd65b8c5b52c,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
17,227d18ec-86d1-4acd-840d-adb95809250e,5,CORA,375,S,W,,,U,,,,24a6ec2c-ce1d-4ad8-8d5a-dd65b8c5b52c,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
18,ba49b05b-4deb-46db-bf87-dbaa046a2f9b,6,WEME,28,S,NE,,,U,,,,24a6ec2c-ce1d-4ad8-8d5a-dd65b8c5b52c,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
19,98401f99-4293-4e93-9708-e179061ff57e,6,WEME,34,S,NE,,,U,,,,24a6ec2c-ce1d-4ad8-8d5a-dd65b8c5b52c,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
20,1968de26-3dcc-43fa-a44b-73796b14abc2,1,WEME,34,S,NE,,,U,,,,6e79da5e-fd11-4232-9d44-e88daf082234,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
21,98ffdaaa-c762-4cfd-bfaf-ce9a303a02a2,1,WEME,211,S,NW,,,U,,,,6e79da5e-fd11-4232-9d44-e88daf082234,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
22,9094b803-6797-47fe-92de-f9ee7f2cddac,2,WEME,49,S,W,,,U,,,,6e79da5e-fd11-4232-9d44-e88daf082234,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
23,9b670eb7-d522-4819-bca4-bfee6c4877d3,3,WEME,27,S,SE,,,U,,,,6e79da5e-fd11-4232-9d44-e88daf082234,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
24,f4ed9dea-7859-46b9-9bf4-549a4e152788,4,VESP,46,S,NE,,,U,,,,6e79da5e-fd11-4232-9d44-e88daf082234,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
25,23fa4c33-1b8e-4034-b700-cb8cfa6b78e1,5,NOBI,,,,,,,,,,6e79da5e-fd11-4232-9d44-e88daf082234,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
26,4e55d48b-7c19-4941-804f-026d51ecd0c9,6,WEME,34,S,W,,,U,,,,6e79da5e-fd11-4232-9d44-e88daf082234,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
27,e2437b86-1068-4f72-a610-78c218e4fd04,6,CORA,181,V,S,,,U,,,,6e79da5e-fd11-4232-9d44-e88daf082234,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
28,02955b6f-8a94-4b7f-8535-fe9013fd38a5,1,NOBI,,,,,,,,,,2a6d3315-44f8-4e1b-876a-bb69f4f662d1,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
29,e09336ef-2385-4b35-923c-a22891c9fb55,2,NOBI,,,,,,,,,,2a6d3315-44f8-4e1b-876a-bb69f4f662d1,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
30,f536ba7c-a230-4161-86a3-0424c0af1113,3,MOBI,77,S,NW,,,U,,,,2a6d3315-44f8-4e1b-876a-bb69f4f662d1,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
31,1e49e6d0-f477-466f-b320-a1f456ba8cea,4,NOBI,,,,,,,,,,2a6d3315-44f8-4e1b-876a-bb69f4f662d1,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
32,7199a143-fa53-4dbb-8532-067a6bb240d5,5,WHSJ,124,S,SW,,,U,,,,2a6d3315-44f8-4e1b-876a-bb69f4f662d1,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
33,7bad28e7-681f-404f-8d84-517905bc18ba,2,UNBI,32,C,S,,,U,,,,2a6d3315-44f8-4e1b-876a-bb69f4f662d1,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
34,2be47987-5643-43b7-92b8-b53dfd5aba10,6,UNBI,127,F,SW,,,U,,,,2a6d3315-44f8-4e1b-876a-bb69f4f662d1,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod
35,7ec7a4b3-2da4-4264-a9c6-dfb29339da81,1,WEME,21,S,E,,V,U,,,,534bde94-f801-4832-a32e-9bfbd6c3bde4,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
36,b8571abb-3320-4014-bb9a-46283237c822,1,WEME,67,S,SW,,,U,,,,534bde94-f801-4832-a32e-9bfbd6c3bde4,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
37,0f22513f-10f8-479c-ae39-c16486fbfd5f,2,WEME,122,S,W,,,U,,,,534bde94-f801-4832-a32e-9bfbd6c3bde4,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
38,df7d2ef2-28a6-4b0d-9385-d58fe3dd590d,3,HOLA,93,S,NE,,V,J,,,,534bde94-f801-4832-a32e-9bfbd6c3bde4,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
39,033ea3b0-aaa1-43c8-b5ca-526af1125f57,3,VESP,30,S,SW,,V,U,,,,534bde94-f801-4832-a32e-9bfbd6c3bde4,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
40,4ab30903-71af-48ab-8bc7-96f3b0e1a7de,3,HOLA,64,S,W,,V,M,,,,534bde94-f801-4832-a32e-9bfbd6c3bde4,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
41,c7607929-6323-4055-bda5-a8e113c4f4a0,4,HOLA,23,V,NW,Y,,U,,,,534bde94-f801-4832-a32e-9bfbd6c3bde4,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
42,73acf258-c657-48c9-986b-f95c29871942,5,WEME,125,S,N,,,U,,,,534bde94-f801-4832-a32e-9bfbd6c3bde4,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
43,4d2202e4-77d5-4e4c-a783-f98699f88384,6,NOBI,,,,,,,,,,534bde94-f801-4832-a32e-9bfbd6c3bde4,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
44,242908aa-3e82-48b1-92a1-f6a542f3432a,1,NOHA,571,V,SW,,,M,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
45,b351c828-8ed4-41c4-aacc-2fe90e05fe01,1,HOLA,74,S,NE,,,U,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
46,ac56716e-2a86-4f38-ab33-d3ac499dfed2,1,WEME,30,V,E,Y,,U,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
47,5bffbaca-b1c7-40f1-bab4-bb48583f1223,1,CORA,207,C,W,,V,U,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
48,06fc6ad2-2244-43aa-9ecf-b056818d1389,1,CORA,210,C,W,,V,U,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
49,e176dcfd-91f3-45cc-a3ec-19c141f5aec8,2,VESP,19,S,NW,,V,U,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
50,7f4eb82e-ac2a-4c2f-90fe-0d4227f20065,3,WEME,102,S,N,,,U,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
51,6c5ded90-bd6d-4eaa-b843-f934447ad3f3,3,VESP,119,S,SE,,,U,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
52,83639e67-4333-4edd-9e8c-4ab502400d32,3,WEME,198,S,SW,,,U,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
53,b3304808-1e9a-4bc8-acd7-2765c08d19fc,4,BRSP,130,S,SE,,,U,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
54,8fee3291-334e-428d-a418-7cff8765079e,4,BRSP,159,S,W,,,U,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
55,9afb4cf2-fcfc-40ed-b2df-924c88e52bf9,5,WEME,93,C,NW,Y,V,U,,,,194c7e7e-4a67-4492-9116-f6f5340d1802,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston
