ObjectID,GlobalID,Incidental Bird?,Time,4-Letter Species Code,Sex,Number of Birds in Incidental Group,Incidental Notes,Next Incidental Observation,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
53,89972e59-831c-4ead-97e5-47f90056fc9c,Y,10:35,GSGR,F,1,Flushed hen off a nest of six eggs,,bee2b93b-5722-4595-93ea-2f0c7f31ca64,5/25/2024 6:46:48 PM,reggleston,5/25/2024 6:46:48 PM,reggleston,-113.760822207775,41.8319392783682
54,2406723b-296b-4e3a-9dcb-9f44d6b64982,Y,08:06,MOBL,M,1,,,248d55d8-0470-47d1-874e-c660ca5ed876,5/26/2024 10:31:42 PM,will.harrod,5/26/2024 10:31:42 PM,will.harrod,-113.93026520272,41.9911062641315
55,c97d308f-8d22-40c6-9f66-ecb169449718,Y,08:07,MOBL,F,2,,,248d55d8-0470-47d1-874e-c660ca5ed876,5/26/2024 10:31:42 PM,will.harrod,5/26/2024 10:31:42 PM,will.harrod,-113.930267863822,41.9911048199567
56,a223181a-f967-4482-bdad-66d1567ef025,Y,07:31,HOLA,U,2,,,48617f4f-0870-4cef-810d-97cdd45d98c3,5/26/2024 10:31:44 PM,will.harrod,5/26/2024 10:31:44 PM,will.harrod,-112.981176765465,42.0471880597604
57,38bf7e9b-abd9-492b-941e-467c300ec30c,Y,06:29,LBCU,U,2,Flyover,,984b4b23-52c5-440e-89a8-f451b3e61ed2,5/26/2024 10:31:45 PM,will.harrod,5/26/2024 10:31:45 PM,will.harrod,-113.941849065782,41.6920013150071
58,bb67d06a-9a87-4037-93cf-1314e00c7283,,,,,,,,ef52a611-8c98-45e5-af0c-8fb8fe718826,5/28/2024 3:52:44 PM,reggleston,5/28/2024 3:52:44 PM,reggleston,0,0
59,c214d177-cb2b-491f-8287-7a2f4b70c304,,,,,,,,4a25182e-8f48-4957-9632-8bc3bdbcb63e,5/28/2024 4:22:43 PM,will.harrod,5/28/2024 4:22:43 PM,will.harrod,0,0
60,1322f429-9477-43cc-acb2-4e7a9f33f2f0,Y,08:27,GRSG,M,1,Flushed grouse walking between points,,c5be1f06-e246-46e9-9086-fc764a3049d1,5/28/2024 7:25:00 PM,reggleston,5/28/2024 7:25:00 PM,reggleston,-113.917959480394,41.8074505719368
61,1f350de1-a390-4578-8dfc-94b63afed900,Y,09:04,GRSG,U,2,Flushed grouse walking between points,,c5be1f06-e246-46e9-9086-fc764a3049d1,5/28/2024 7:25:00 PM,reggleston,5/28/2024 7:25:00 PM,reggleston,-113.921062219009,41.8063620110458
62,a29d4252-eb48-4bd3-8e83-af168fadee3a,,,,,,,,45ae53b6-0063-49e1-bb40-ed6a79665710,5/29/2024 3:18:40 PM,reggleston,5/29/2024 3:18:40 PM,reggleston,0,0
63,5fe48909-4f57-475a-b52d-317ea64ab240,,,,,,,,f0529be0-4eda-4181-b9d5-e03e474e7c41,5/29/2024 5:18:35 PM,will.harrod,5/29/2024 5:18:35 PM,will.harrod,0,0
64,bf4a8658-adfc-4836-89ad-16ae7f790ab6,,,,,,,,01d32388-8fe8-4b97-9a1d-17ee43b3f5c0,5/29/2024 8:38:10 PM,will.harrod,5/29/2024 8:38:10 PM,will.harrod,0,0
65,c267f886-d088-4dd5-aebd-4fdcfc88a170,,,,,,,,15a7bbde-abfe-4784-a829-70509df2dccf,5/30/2024 3:29:04 PM,reggleston,5/30/2024 3:29:04 PM,reggleston,0,0
66,7174f70c-77e3-4663-bb9e-bf43e07707ec,,,,,,,,2eb815f6-8d51-4543-8013-d42082fe1fbc,5/31/2024 12:11:59 AM,will.harrod,5/31/2024 12:11:59 AM,will.harrod,0,0
67,8b97514b-e7d6-43f2-9d14-515969b0d9f8,,,,,,,,88f96261-4275-4ac0-ac36-e6936298f628,5/31/2024 12:12:13 AM,will.harrod,5/31/2024 12:12:13 AM,will.harrod,0,0
68,9db36e85-94dc-44e7-877f-6d4f9bbc9f7a,Y,07:44,LABU,U,,,,1e2f6a8d-cddb-4e7f-8ebc-ae7f73764c6c,5/31/2024 4:10:56 PM,will.harrod,5/31/2024 4:10:56 PM,will.harrod,-114.03334711,42.20974006
69,28a90dc3-759b-45f2-ab1c-919b4106d0db,Y,08:03,GASG,U,3,,,1e2f6a8d-cddb-4e7f-8ebc-ae7f73764c6c,5/31/2024 4:10:56 PM,will.harrod,5/31/2024 4:10:56 PM,will.harrod,-114.04057494,42.20478121
70,420f62ed-4646-427f-a639-546a4e8e3e2d,Y,07:47,NOFL,U,2,,,f7805dd2-3811-4ae1-841e-615c0ebac1b1,5/31/2024 4:10:59 PM,will.harrod,5/31/2024 4:10:59 PM,will.harrod,-113.65480384,41.55793061
71,fa480d3b-5a41-4b01-beae-553d5d731335,Y,07:47,SABS,U,,,,f7805dd2-3811-4ae1-841e-615c0ebac1b1,5/31/2024 4:10:59 PM,will.harrod,5/31/2024 4:10:59 PM,will.harrod,-113.65479515,41.55792917
72,9217efb4-29aa-4ffe-89be-4fa76e450dfc,Y,07:48,RTHA,U,,,,f7805dd2-3811-4ae1-841e-615c0ebac1b1,5/31/2024 4:10:59 PM,will.harrod,5/31/2024 4:10:59 PM,will.harrod,-113.65479396,41.55792726
73,41273ba5-fc74-4ac0-8384-11b4f5fbebce,,,,,,,,6bf915a2-44d7-44ff-8349-d0da0f62d55c,5/31/2024 4:28:18 PM,reggleston,5/31/2024 4:28:18 PM,reggleston,0,0
74,74f1fcdf-73b3-42b1-9d59-adba8490fda1,,,,,,,,5a04c231-812f-411f-9ff4-dcc1220eae2f,5/31/2024 5:19:18 PM,will.harrod,5/31/2024 5:19:18 PM,will.harrod,0,0
75,11cd4a36-fc54-4f9e-b7cb-f06163ffad9a,,,,,,,,2d274256-48ef-46c4-aeec-4eb172948fc1,5/31/2024 5:19:19 PM,will.harrod,5/31/2024 5:19:19 PM,will.harrod,0,0
76,2ddd212d-2d24-405d-a829-240e30441f7c,Y,08:52,GRSG,U,2,,,bf99febb-986c-414e-905a-d5dc6b02153f,5/31/2024 6:25:33 PM,will.harrod,5/31/2024 6:25:33 PM,will.harrod,-113.99167031,41.83957749
77,596a8c93-17d8-4bfb-a67b-a17541e5b8fd,,,,,,,,c2b7da49-5e8a-4c13-819d-634687fd9c0a,6/1/2024 12:46:11 AM,will.harrod,6/1/2024 12:46:11 AM,will.harrod,0,0
78,14762916-6ab4-4ee4-832a-da3cd09ec91b,Y,07:38,SEOW,U,,,,b45fa971-7174-4cb0-b601-ad0721977641,6/3/2024 3:27:07 PM,will.harrod,6/3/2024 3:27:07 PM,will.harrod,-113.94303154,41.54403654
79,b9f4c19b-01d5-4ae0-9400-0a77615355fc,Y,06:08,UNBI,U,15,Large group of grouse took off about 20m away,,d7412dc0-00b4-4c59-b56e-72796155052a,6/3/2024 3:41:54 PM,reggleston,6/3/2024 3:41:54 PM,reggleston,-114.047839097322,42.2281285196873
80,93f3e3cb-f5ce-4a75-ae28-01ee8670e2d5,Y,06:23,UNBI,U,1,Flushed grouse walking between points,,d7412dc0-00b4-4c59-b56e-72796155052a,6/3/2024 3:41:54 PM,reggleston,6/3/2024 3:41:54 PM,reggleston,-114.047898225492,42.2254242981915
81,f991beda-40bd-4925-9313-04d961034986,Y,08:59,UNBI,U,35,Groups of grouse flushed about 25m away,,d7412dc0-00b4-4c59-b56e-72796155052a,6/3/2024 3:41:54 PM,reggleston,6/3/2024 3:41:54 PM,reggleston,-114.041070039814,42.2249442237386
82,78fc25e3-fab2-4d54-a40d-158d0ac7d927,Y,05:56,GRPA,U,1,Flushed gray partridge between points,,78b63f92-8008-4147-ae31-0a2ff76b2126,6/3/2024 3:41:56 PM,reggleston,6/3/2024 3:41:56 PM,reggleston,-114.031447065295,41.7957483734069
83,d39246e8-f505-45bd-8e6b-ae2687943bc3,Y,06:38,GRSG,U,1,Flushed grouse walking between points,,ff7dead8-cc03-47cb-ae21-bb80025903b6,6/3/2024 3:41:57 PM,reggleston,6/3/2024 3:41:57 PM,reggleston,-113.419430627114,42.1518129573188
84,48a67e55-e304-489f-b202-fef9ca1e6084,Y,08:21,GRSG,U,1,Flushed grouse stopping at point 11,,ff7dead8-cc03-47cb-ae21-bb80025903b6,6/3/2024 3:41:57 PM,reggleston,6/3/2024 3:41:57 PM,reggleston,-113.415584146186,42.1475027749879
85,ddd20696-215d-4354-bf3a-466db2223c35,Y,06:40,GRSG,F,1,,,118673bd-fb29-423f-afc7-5edbf3d580ab,6/3/2024 3:50:11 PM,reggleston,6/3/2024 3:50:11 PM,reggleston,-113.434966222241,42.1405473456876
86,4f00c713-f061-44f9-af0a-cb061b4eb1be,Y,07:22,????,U,8,Grouse,,aac24330-2a2d-4fc2-8df8-abfccc96bee1,6/4/2024 2:06:47 AM,will.harrod,6/4/2024 2:06:47 AM,will.harrod,-113.438120620035,42.0996579162486
87,9bd0b22f-80db-4325-8f83-b0ba76b9742e,Y,09:14,????,U,1,Grouse,,aac24330-2a2d-4fc2-8df8-abfccc96bee1,6/4/2024 2:06:47 AM,will.harrod,6/4/2024 2:06:47 AM,will.harrod,-113.442666153353,42.1004290501162
88,06fb560c-e1b6-4007-bea6-a2cbc8f809ba,,,,,,,,42849595-5b69-418b-b94c-6e01ebd3b52e,6/4/2024 2:45:43 PM,will.harrod,6/4/2024 2:45:43 PM,will.harrod,0,0
89,dfa41333-c324-45b6-8f95-5fd0f2c76b78,,,,,,,,ed9f0074-97fb-4b23-a5b7-c1f4de2401a1,6/4/2024 2:45:55 PM,will.harrod,6/4/2024 2:45:55 PM,will.harrod,0,0
90,1a462684-af39-4a5b-9fa8-6b59fa83c96e,,,,,,,,0178ef7f-bdbc-4ad9-8c75-59df4cba7bbc,6/4/2024 2:46:09 PM,will.harrod,6/4/2024 2:46:09 PM,will.harrod,0,0
91,87571f26-6f46-4b21-86f7-e2b33c3cbfad,,,,,,,,b6e1b962-afa2-4a7c-a58c-72c2a25ad05c,6/4/2024 2:52:39 PM,will.harrod,6/4/2024 2:52:39 PM,will.harrod,0,0
92,d439f09a-1746-4def-b9e7-ab2f815ad2c1,,,,,,,,d9bd4e8f-4ed9-4683-b211-b96c6ddb3958,6/4/2024 3:02:37 PM,reggleston,6/4/2024 3:02:37 PM,reggleston,0,0
93,9c73bb33-6eae-4748-a425-2ea22150879e,Y,07:47,CHUK,U,1,,,fa739543-876d-486e-9b4c-92a4ac89b662,6/4/2024 3:13:58 PM,reggleston,6/4/2024 3:13:58 PM,reggleston,-112.965352991211,42.1014499598119
94,0deb44f4-1202-4a4c-9045-b5eb95953bf6,,,,,,,,ad73623b-d38b-4268-93bb-80ed40e8f866,6/4/2024 6:19:12 PM,will.harrod,6/4/2024 6:19:12 PM,will.harrod,0,0
95,3a3fceec-398b-419a-bf15-7904e15c86c6,Y,07:03,GSAG,M,1,,,c6250785-438b-434b-966d-ce1535da6059,6/5/2024 2:48:25 PM,will.harrod,6/5/2024 2:48:25 PM,will.harrod,-113.878048647989,42.1346838278417
96,0c7fdf27-1d91-4b23-b07e-01f8696646d5,Y,07:15,GRSG,U,2,Flew off as I approached 2,,9eccfca4-46d6-4195-b2c7-d7311cb4b96b,6/5/2024 3:13:32 PM,will.harrod,6/5/2024 3:13:32 PM,will.harrod,-113.87479182,42.12690593
97,4fb18c08-69df-4c7b-83b8-a7bb953d56ec,Y,09:12,GRSG,U,1,,,9eccfca4-46d6-4195-b2c7-d7311cb4b96b,6/5/2024 3:13:32 PM,will.harrod,6/5/2024 3:13:32 PM,will.harrod,-113.87177126,42.12050944
98,75e08708-1adf-40e3-8058-1f71806f7d5e,,,,,,,,124655a2-e038-4977-bc01-15d105a66fc2,6/5/2024 3:50:39 PM,will.harrod,6/5/2024 3:50:39 PM,will.harrod,0,0
99,549f53c1-709e-401f-b1a7-e367abe4d36b,Y,05:46,GRSG,U,8,Flushed female grouse and brood of about 7,,569b00a4-5649-45b5-91db-6a8370a1e767,6/5/2024 7:14:45 PM,reggleston,6/5/2024 7:14:45 PM,reggleston,-113.720681675338,41.5697051052558
100,8722d66f-b784-42e5-a6a0-c7d1bd5254e9,,,,,,,,7e2f8fd5-a245-442c-b6fb-53d432a945c9,6/6/2024 2:56:57 PM,will.harrod,6/6/2024 2:56:57 PM,will.harrod,0,0
101,6378d84f-1cef-4a3e-a19a-f4ad86a61db8,,,,,,,,09a9a205-506e-4927-ac81-89b7d95ae90c,6/7/2024 1:41:52 AM,reggleston,6/7/2024 1:41:52 AM,reggleston,0,0
102,c62f5158-2e5d-4bcd-8497-af1920bbc028,,,,,,,,df6bb495-3248-43c6-8311-013c72ce7657,6/7/2024 2:59:35 AM,will.harrod,6/7/2024 2:59:35 AM,will.harrod,0,0
103,a8a7ee31-ee6b-4244-9249-f6d5bb8b3df7,,,,,,,,09f2f954-f909-4a45-b0d0-25a70c512504,6/7/2024 2:07:37 PM,will.harrod,6/7/2024 2:07:37 PM,will.harrod,0,0
