ObjectID,GlobalID,Date and Start Time,Observer Name,Transect ID,Visit #,Sky Start,Sky End,Wind Start,Wind End,Start Temperature,End Temperature,CreationDate,Creator,EditDate,Editor,x,y
92,e1ede62f-bd16-4ebf-8e78-b76248dc2b46,7/11/2022 12:34:00 PM,Eoin,ID-B12,2,0,0,1,2,60,70,7/19/2022 11:27:17 AM,reggleston,7/19/2022 11:27:17 AM,reggleston,-113.870802692693,42.1059105108009
93,84f64f29-331a-43cd-ae04-950e7d81294f,7/12/2022 12:35:00 PM,Eoin,UT-C15,2,0,0,1,0,60,80,7/19/2022 11:27:19 AM,reggleston,7/19/2022 11:27:19 AM,reggleston,-113.961318129089,41.8133792988571
94,ee1bb729-cbdb-4cb3-a758-34c74729c976,7/13/2022 1:51:00 PM,Eoin,ID-B23,2,1,2,2,1,65,75,7/19/2022 11:27:20 AM,reggleston,7/19/2022 11:27:20 AM,reggleston,-113.15152032798,42.0609287557186
95,5dcc6702-035a-4e24-a051-f4c494e4f80f,7/14/2022 12:25:00 PM,Eoin,ID-B28,2,0,1,0,1,65,75,7/19/2022 11:27:21 AM,reggleston,7/19/2022 11:27:21 AM,reggleston,-113.747819349907,42.01435519735
96,c0179a5e-520a-4f37-8c4a-a453f7d3422b,7/15/2022 12:08:00 PM,Eoin,UT-C25,2,2,2,2,1,70,70,7/19/2022 11:27:22 AM,reggleston,7/19/2022 11:27:22 AM,reggleston,-113.933802383338,41.819822192391
97,634de583-bda6-422c-a72b-86c3c75c036c,7/13/2022 3:18:00 PM,Rory Eggleston,ID-B13,V2,2,1,2,3,75,80,8/10/2022 12:29:28 AM,reggleston,8/10/2022 12:29:28 AM,reggleston,-114.130539000141,42.1768329386061
98,ac30b4ce-dd64-41c1-83c2-db38ee994b2d,7/14/2022 12:34:00 PM,Rory Eggleston,ID-C28,V2,1,1,1,1,71,83,8/10/2022 12:29:29 AM,reggleston,8/10/2022 12:29:29 AM,reggleston,-113.760867901252,42.0913479617258
99,66e601aa-33c1-47f4-bed9-13f376ad0ba8,7/15/2022 12:19:00 PM,Rory Eggleston,UT-C30,V2,2,2,1,2,65,75,8/10/2022 12:29:31 AM,reggleston,8/10/2022 12:29:31 AM,reggleston,-113.923828192161,41.8069868674891
100,347735f3-8715-483f-aa88-022a979f6581,7/16/2022 1:11:00 PM,Rory Eggleston,ID-C11,V2,0,0,0,2,67,85,8/10/2022 12:29:33 AM,reggleston,8/10/2022 12:29:33 AM,reggleston,-113.448831858219,42.1154774073904
101,6bd2dd2f-6688-4e97-bcff-f0334dda3e43,7/18/2022 1:04:00 PM,Rory Eggleston,ID-B11,V2,2,2,0,1,76,81,8/10/2022 12:29:34 AM,reggleston,8/10/2022 12:29:34 AM,reggleston,-113.447330826999,42.1048382996042
102,c0eda62b-3739-42f1-adb5-46f38cf30b7c,6/20/2022 12:53:00 PM,Austin,UT_C15,01,3,2,2,2,45,63,8/15/2022 3:34:44 AM,carter_ruger,8/15/2022 3:34:44 AM,carter_ruger,-113.970278968844,41.813035643779
