ObjectID,GlobalID,Point #,Start Time at Point,Area Burned?,Percent of Area Burned,Area Treated?,Treatment Type,Percent of Area Treated,Cliff/Rock Present,Cheatgrass Present?,Percent Cheatgrat,Woody Vegitation Species Present,Woody Plant Species 1,Woody Plant Species 2,Woody Plant Species 3,Woody Plant Species 4,Woody Plant Species 5,Percent Tree Cover,Percent Shrub Cover,Average Shrub Height,Ground Cover Types Present,% snow cover,% water cover,% low woody vegitation (<0.25m) cover,% dead or downed tree cover,% herb or forb cover (not grass),% dead grass cover,% live grass cover,% leaf litter cover,% bare ground cover,"If Point Isn't Surveyed, Why?",Point Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Next Point,Average Dead Grass Height,x,y
81,77463b1f-b9f7-4037-8d81-e884e6dfc949,05,06:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.447196420598,42.1025996004902
82,fba0b624-d777-43ee-9404-a016667cd2b3,01,07:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.447274147637,42.1048023386465
83,40992453-0097-4f6c-9d1c-b1472c03f379,02,07:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/24/2023 1:36:11 PM,will.harrod,,,-113.444391797749,42.1048865068541
84,0cc1683a-fc51-46e4-a866-03ed3fb7e5eb,06,07:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.444309598951,42.1027093241846
85,bb445a8e-8024-4c09-aaf9-91c0c0b365ea,10,07:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.44421571286,42.100520335554
86,82d708cd-10a1-4590-a047-db90d1ac140c,11,08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.441225099405,42.1005699813808
87,b2813b8d-0cdf-45d7-b48f-9becd51ed247,07,08:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.441340495407,42.1028462607397
88,cf4e278d-2463-4c8f-b8ad-c10b7fe759ce,03,08:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.441458987647,42.1050146271261
89,dcea94f7-e568-4849-b99d-2ed7a3e633fa,04,08:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.438532155396,42.1050424430627
90,ae09eb89-e672-41cc-8548-f53cd6789c68,08,09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.438443409896,42.1028794681125
