FID,RouteName,Point_ID,Geo_X,Geo_Y,UTM_X,UTM_Y
79,ID_B04,4,-112.991868,42.07528564,335230.3659,4660054.117
80,ID-C04,13,-112.9723081,42.05948861,336807.9837,4658262.538
81,ID-C04,14,-112.9693446,42.05954399,337053.3419,4658263.035
82,ID-C04,15,-112.9663811,42.05959937,337298.6997,4658263.54
83,ID-C04,16,-112.9634176,42.05965475,337544.0569,4658264.053
84,ID-C04,9,-112.9723827,42.06168882,336807.448,4658506.985
85,ID-C04,10,-112.9694192,42.0617442,337052.7978,4658507.481
86,ID-C04,11,-112.9664557,42.06179958,337298.147,4658507.986
87,ID-C04,12,-112.9634922,42.06185496,337543.4957,4658508.499
88,ID-C04,5,-112.9724573,42.06388896,336806.9128,4658751.424
89,ID-C04,6,-112.9694938,42.06394434,337052.254,4658751.92
90,ID-C04,7,-112.9665303,42.06399971,337297.5948,4658752.424
91,ID-C04,8,-112.9635668,42.06405509,337542.9351,4658752.936
92,ID-C04,1,-112.9725319,42.06608902,336806.3779,4658995.855
93,ID-C04,2,-112.9695684,42.0661444,337051.7108,4658996.35
94,ID-C04,3,-112.9666049,42.06619977,337297.043,4658996.853
95,ID-C04,4,-112.9636414,42.06625514,337542.3749,4658997.365
96,ID-C07,13,-113.421428,42.14522813,299914.6816,4668738.181
97,ID-C07,14,-113.4184654,42.14530621,300159.7437,4668739.909
98,ID-C07,15,-113.4155029,42.1453843,300404.805,4668741.646
99,ID-C07,16,-113.4125403,42.14546238,300649.8658,4668743.391
100,ID-C07,9,-113.4215333,42.14742468,299912.9003,4668982.337
101,ID-C07,10,-113.4185707,42.14750276,300157.9539,4668984.064
102,ID-C07,11,-113.4156082,42.14758084,300403.0067,4668985.8
103,ID-C07,12,-113.4126456,42.14765892,300648.059,4668987.545
104,ID-C07,5,-113.4216386,42.14962115,299911.1196,4669226.484
105,ID-C07,6,-113.4186761,42.14969923,300156.1647,4669228.211
106,ID-C07,7,-113.4157135,42.14977731,300401.2092,4669229.946
107,ID-C07,8,-113.4127509,42.14985539,300646.253,4669231.69
108,ID-C07,1,-113.4217439,42.15181754,299909.3395,4669470.622
109,ID-C07,2,-113.4187814,42.15189562,300154.3762,4669472.349
110,ID-C07,3,-113.4158188,42.1519737,300399.4122,4669474.083
111,ID-C07,4,-113.4128562,42.15205177,300644.4475,4669475.827
112,ID-B07,13,-113.4547536,42.11533453,297065.3062,4665497.425
113,ID-B07,14,-113.4517909,42.11540852,297310.4903,4665498.604
114,ID-B07,15,-113.4488281,42.11548251,297555.6738,4665499.79
115,ID-B07,16,-113.4458653,42.1155565,297800.8568,4665500.986
116,ID-B07,9,-113.4548534,42.11753225,297064.0759,4665741.701
117,ID-B07,10,-113.4518906,42.11760624,297309.2517,4665742.879
118,ID-B07,11,-113.4489278,42.11768023,297554.4267,4665744.065
119,ID-B07,12,-113.4459651,42.11775422,297799.6011,4665745.26
120,ID-B07,5,-113.4549531,42.11972991,297062.8464,4665985.969
121,ID-B07,6,-113.4519903,42.11980389,297308.0136,4665987.146
122,ID-B07,7,-113.4490276,42.11987788,297553.1802,4665988.332
123,ID-B07,8,-113.4460648,42.11995187,297798.3461,4665989.526
124,ID-B07,1,-113.4550529,42.12192748,297061.6174,4666230.229
125,ID-B07,2,-113.4520901,42.12200147,297306.7761,4666231.405
126,ID-B07,3,-113.4491273,42.12207545,297551.9342,4666232.59
127,ID-B07,4,-113.4461646,42.12214944,297797.0918,4666233.783
128,ID-B09,16,-113.9212651,41.99143382,258025.1584,4652953.276
129,ID-B09,13,-113.9303637,41.99119435,257270.5191,4652952.456
130,ID-B09,14,-113.9273279,41.99126741,257522.2852,4652951.961
131,ID-B09,15,-113.924292,41.99134039,257774.0521,4652951.466
132,ID-B09,9,-113.9304727,41.99342856,257269.987,4653200.861
133,ID-B09,10,-113.9274368,41.99350163,257521.7523,4653200.366
134,ID-B09,11,-113.9244008,41.99357463,257773.5184,4653199.873
135,ID-B09,12,-113.9213649,41.99364756,258025.2852,4653199.381
136,ID-B09,5,-113.9305817,41.99566277,257269.4545,4653449.266
137,ID-B09,6,-113.9275457,41.99573585,257521.2187,4653448.773
138,ID-B09,7,-113.9245097,41.99580887,257772.9839,4653448.28
139,ID-B09,8,-113.9214736,41.99588182,258024.7501,4653447.789
140,ID-B09,1,-113.9306907,41.99789698,257268.9212,4653697.672
141,ID-B09,2,-113.9276546,41.99797008,257520.6846,4653697.179
142,ID-B09,3,-113.9246185,41.99804311,257772.449,4653696.688
143,ID-B09,4,-113.9215824,41.99811608,258024.2144,4653696.198
144,ID_C09,1,-113.8856914,42.01001857,261041.6923,4654917.001
145,ID_C09,13,-113.885389,42.0033309,261041.6866,4654173.532
146,ID_C09,14,-113.8823527,42.00340601,261293.4465,4654173.395
147,ID_C09,15,-113.8793164,42.00348105,261545.2075,4654173.259
148,ID_C09,16,-113.8762801,42.00355602,261796.9694,4654173.125
149,ID_C09,9,-113.8855007,42.00556508,261040.8042,4654421.936
150,ID_C09,10,-113.8824643,42.00564021,261292.5634,4654421.801
151,ID_C09,11,-113.8794279,42.00571526,261544.3234,4654421.666
152,ID_C09,12,-113.8763915,42.00579025,261796.0843,4654421.532
153,ID_C09,5,-113.8856124,42.00779927,261039.9212,4654670.342
154,ID_C09,6,-113.8825759,42.00787441,261291.6796,4654670.207
155,ID_C09,7,-113.8795394,42.00794948,261543.4387,4654670.073
156,ID_C09,8,-113.8765029,42.00802449,261795.1988,4654669.94
157,ID_C09,2,-113.8826876,42.01010862,261290.7951,4654918.613
158,ID_C09,3,-113.879651,42.01018371,261542.5535,4654918.481
159,ID_C09,4,-113.8766144,42.01025873,261794.3128,4654918.349
160,ID-C11,13,-113.4347509,42.13605258,298784.653,4667750.638
161,ID-C11,14,-113.4317879,42.13611962,299029.7577,4667751.101
162,ID-C11,15,-113.4288248,42.13618665,299274.8619,4667751.571
163,ID-C11,16,-113.4258618,42.13625369,299519.9656,4667752.051
164,ID-C11,9,-113.4348413,42.13824981,298784.1417,4667994.836
165,ID-C11,10,-113.4318783,42.13831684,299029.2381,4667995.297
166,ID-C11,11,-113.4289152,42.13838388,299274.3338,4667995.768
167,ID-C11,12,-113.4259522,42.13845092,299519.4289,4667996.247
168,ID-C11,5,-113.4349317,42.14044697,298783.6312,4668239.025
169,ID-C11,6,-113.4319687,42.140514,299028.719,4668239.486
170,ID-C11,7,-113.4290056,42.14058103,299273.8063,4668239.956
171,ID-C11,8,-113.4260426,42.14064806,299518.8929,4668240.434
172,ID-C11,1,-113.4350221,42.14264404,298783.1211,4668483.205
173,ID-C11,2,-113.4320591,42.14271108,299028.2005,4668483.666
174,ID-C11,3,-113.429096,42.14277811,299273.2793,4668484.135
175,ID-C11,4,-113.426133,42.14284514,299518.3574,4668484.613
176,ID-B11,13,-113.4470308,42.09823183,297649.3796,4663579.993
177,ID-B11,14,-113.444068,42.09830555,297894.629,4663581.163
178,ID-B11,15,-113.4411052,42.09837927,298139.8778,4663582.342
179,ID-B11,16,-113.4381424,42.09845298,298385.126,4663583.529
180,ID-B11,9,-113.4471301,42.10043016,297648.1576,4663824.333
181,ID-B11,10,-113.4441673,42.10050388,297893.3985,4663825.503
182,ID-B11,11,-113.4412046,42.10057759,298138.6388,4663826.681
183,ID-B11,12,-113.4382418,42.1006513,298383.8785,4663827.868
184,ID-B11,5,-113.4472295,42.10262842,297646.9362,4664068.665
185,ID-B11,6,-113.4442667,42.10270213,297892.1687,4664069.835
186,ID-B11,7,-113.4413039,42.10277584,298137.4005,4664071.012
187,ID-B11,8,-113.4383411,42.10284955,298382.6317,4664072.198
188,ID-B11,1,-113.4473288,42.1048266,297645.7155,4664312.989
189,ID-B11,2,-113.444366,42.1049003,297890.9394,4664314.158
190,ID-B11,3,-113.4414033,42.10497401,298136.1628,4664315.335
191,ID-B11,4,-113.4384405,42.10504772,298381.3856,4664316.52
192,ID-C12,13,-113.877506,42.12028387,262131.9106,4667138.535
193,ID-C12,14,-113.8745429,42.12034914,262377.1231,4667137.529
194,ID-C12,15,-113.8715798,42.12041442,262622.335,4667136.532
195,ID-C12,16,-113.8686166,42.12047969,262867.5464,4667135.543
196,ID-C12,9,-113.877594,42.1224817,262132.8636,4667382.84
197,ID-C12,10,-113.8746309,42.12254697,262378.0676,4667381.833
198,ID-C12,11,-113.8716678,42.12261224,262623.2711,4667380.835
199,ID-C12,12,-113.8687046,42.12267751,262868.474,4667379.846
200,ID-C12,5,-113.877682,42.12467946,262133.8172,4667627.136
201,ID-C12,6,-113.8747189,42.12474473,262379.0127,4667626.129
202,ID-C12,7,-113.8717558,42.12481,262624.2077,4667625.13
203,ID-C12,8,-113.8687926,42.12487526,262869.4021,4667624.14
204,ID-C12,1,-113.87777,42.12687714,262134.7714,4667871.423
205,ID-C12,2,-113.8748069,42.1269424,262379.9585,4667870.416
206,ID-C12,3,-113.8718438,42.12700767,262625.1449,4667869.417
207,ID-C12,4,-113.8688806,42.12707294,262870.3309,4667868.426
208,ID-B12,14,-113.8765251,42.10149382,262142.6992,4665049.256
209,ID-B12,15,-113.873562,42.1015587,262387.984,4665048.209
210,ID-B12,16,-113.8705988,42.10162357,262633.2682,4665047.17
211,ID-B12,9,-113.8676357,42.10168844,262878.5518,4665046.141
212,ID-B12,10,-113.8766126,42.10369232,262143.6934,4665293.632
213,ID-B12,11,-113.8736494,42.10375719,262388.9697,4665292.584
214,ID-B12,12,-113.8706863,42.10382206,262634.2455,4665291.545
215,ID-B12,13,-113.8677231,42.10388693,262879.5205,4665290.515
216,ID-B12,5,-113.8767,42.10589074,262144.6881,4665537.999
217,ID-B12,6,-113.8737369,42.10595561,262389.9559,4665536.951
218,ID-B12,7,-113.8707737,42.10602048,262635.2232,4665535.912
219,ID-B12,8,-113.8678106,42.10608535,262880.4899,4665534.881
220,ID-B12,1,-113.8767874,42.10808909,262145.6834,4665782.358
221,ID-B12,2,-113.8738243,42.10815395,262390.9427,4665781.31
222,ID-B12,3,-113.8708611,42.10821882,262636.2015,4665780.27
223,ID-B12,4,-113.867898,42.10828368,262881.4597,4665779.238
224,ID-B13,13,-114.1394008,42.17705597,240712.31,4674206.186
225,ID-B13,14,-114.1364383,42.17697613,240956.6848,4674188.314
226,ID-B13,15,-114.1334758,42.1768963,241201.0602,4674170.45
227,ID-B13,16,-114.1305134,42.17681647,241445.4361,4674152.594
228,ID-B13,9,-114.1392931,42.17925135,240730.186,4674449.653
229,ID-B13,10,-114.1363306,42.17917152,240974.5523,4674431.781
230,ID-B13,11,-114.1333681,42.17909169,241218.9193,4674413.918
231,ID-B13,12,-114.1304056,42.17901186,241463.2867,4674396.063
232,ID-B13,5,-114.1391854,42.18144665,240748.0615,4674693.111
233,ID-B13,6,-114.1362229,42.18136682,240992.4193,4674675.24
234,ID-B13,7,-114.1332604,42.181287,241236.7778,4674657.377
235,ID-B13,8,-114.1302979,42.18120717,241481.1367,4674639.523
236,ID-B13,1,-114.1390776,42.18364188,240765.9364,4674936.561
237,ID-B13,2,-114.1361152,42.18356205,241010.2858,4674918.691
238,ID-B13,3,-114.1331527,42.18348223,241254.6357,4674900.828
239,ID-B13,4,-114.1301902,42.1834024,241498.9863,4674882.974
240,ID-C13,13,-114.0690799,42.19753557,246602.6857,4676268.907
241,ID-C13,14,-114.0661171,42.19746202,246847.0364,4676251.933
242,ID-C13,15,-114.0631543,42.19738847,247091.3875,4676234.968
243,ID-C13,16,-114.0601916,42.19731492,247335.7392,4676218.01
244,ID-C13,9,-114.0689806,42.19973046,246619.6615,4676512.351
245,ID-C13,10,-114.0660178,42.19965691,246864.0037,4676495.377
246,ID-C13,11,-114.0630551,42.19958336,247108.3464,4676478.412
247,ID-C13,12,-114.0600923,42.19950981,247352.6896,4676461.455
248,ID-C13,5,-114.0688813,42.20192527,246636.6371,4676755.786
249,ID-C13,6,-114.0659186,42.20185172,246880.9707,4676738.813
250,ID-C13,7,-114.0629558,42.20177818,247125.3048,4676721.848
251,ID-C13,8,-114.059993,42.20170463,247369.6396,4676704.892
252,ID-C13,1,-114.0687821,42.20412001,246653.6119,4676999.213
253,ID-C13,2,-114.0658193,42.20404646,246897.9371,4676982.24
254,ID-C13,3,-114.0628565,42.20397292,247142.2628,4676965.276
255,ID-C13,4,-114.0598937,42.20389937,247386.589,4676948.32
256,ID-C15,13,-113.8826504,42.13010187,261743.4389,4668243.131
257,ID-C15,14,-113.8796876,42.13017494,261988.6158,4668242.977
258,ID-C15,15,-113.8767248,42.13024802,262233.7922,4668242.831
259,ID-C15,16,-113.873762,42.13032109,262478.9679,4668242.695
260,ID-C15,9,-113.8827489,42.13229912,261743.5366,4668487.4
261,ID-C15,10,-113.8797861,42.13237219,261988.7051,4668487.246
262,ID-C15,11,-113.8768233,42.13244526,262233.8731,4668487.1
263,ID-C15,12,-113.8738605,42.13251833,262479.0403,4668486.963
264,ID-C15,5,-113.8828475,42.13449629,261743.635,4668731.662
265,ID-C15,6,-113.8798847,42.13456936,261988.795,4668731.507
266,ID-C15,7,-113.8769219,42.13464242,262233.9545,4668731.36
267,ID-C15,8,-113.8739591,42.13471549,262479.1132,4668731.222
268,ID-C15,1,-113.882946,42.13669338,261743.734,4668975.915
269,ID-C15,2,-113.8799832,42.13676645,261988.8856,4668975.759
270,ID-C15,3,-113.8770204,42.13683951,262234.0366,4668975.612
271,ID-C15,4,-113.8740576,42.13691258,262479.1868,4668975.473
272,ID_B15,1,-113.9004719,42.05628988,259991.9414,4660096.572
273,ID_B15,5,-113.9003668,42.05409017,259992.3541,4659852.01
274,ID_B15,9,-113.9002616,42.05189038,259992.7674,4659607.44
275,ID_B15,13,-113.9001565,42.04969052,259993.1816,4659362.862
276,ID_B15,2,-113.8975094,42.05636796,260237.405,4660096.926
277,ID_B15,6,-113.8974042,42.05416825,260237.8262,4659852.365
278,ID_B15,10,-113.897299,42.05196847,260238.2481,4659607.795
279,ID_B15,14,-113.8971939,42.0497686,260238.6706,4659363.217
