"","Species","Mean.B","Mean.R","t","p","CI.lb","CI.ub","Signif"
"1","BRSP",68.5172413793103,40.6774193548387,0.000425134510179597,0.000425134510179597,12.9704260115511,42.7092180373922,TRUE
"2","SATH",14.1034482758621,4.70967741935484,0.000317666331079621,0.000317666331079621,4.51360913887198,14.2739325741425,TRUE
"3","SABS",2.24137931034483,0.129032258064516,0.229767072978868,0.229767072978868,-1.41165870197807,5.63635280653869,FALSE
"4","GTTO",18.448275862069,16.741935483871,0.793508314499543,0.793508314499543,-11.2901940083677,14.7028747647637,FALSE
"5","VESP",32.3793103448276,43.4838709677419,0.0645829211528191,0.0645829211528191,-22.9040532692106,0.694932023381888,FALSE
"6","WEME",66.4137931034483,72.1290322580645,0.578176424590366,0.578176424590366,-26.174295627132,14.7438173178995,FALSE
"7","HOLA",25.4137931034483,28.4838709677419,0.737771849457304,0.737771849457304,-21.3575333982977,15.2173776697103,FALSE
