"","Full.Point.ID","Route.ID","Route.Type","Sage.Cover","Perennial.Cover","Elevation","Burn.Sevarity","Aspect","Fire.Name","Fire.Year","Fire.Distance"
"44","ID-B07-P12","ID-B07","B",3.33928571428571,55.5535714285714,1683.13429116303,3,-1,"Jim Sage",2007,288.549058393999
"45","ID-B07-P13","ID-B07","B",1.89285714285714,62.8035714285714,1748.13711381392,3,-1,"Jim Sage",2007,1032.28705625181
"46","ID-B07-P14","ID-B07","B",1.94736842105263,62.5263157894737,1724.63558846933,3,-1,"Jim Sage",2007,825.876543634588
"47","ID-B07-P15","ID-B07","B",2.83018867924528,59.3396226415094,1706.1119453862,3,-1,"Jim Sage",2007,611.07812167081
"48","ID-B07-P16","ID-B07","B",3.48148148148148,55.7407407407407,1690.68089463976,3,-1,"Jim Sage",2007,384.316959381104
"49","ID-B09-P01","ID-B09","B",4.62962962962963,55.7222222222222,1697.42901611328,3,7,"Devine Canyon",2000,351.242551732946
"50","ID-B09-P02","ID-B09","B",4.68518518518519,54.037037037037,1722.47642711293,3,5,"Devine Canyon",2000,583.613596598307
"51","ID-B09-P03","ID-B09","B",6.27777777777778,50.7037037037037,1750.53021351207,3,-1,"Devine Canyon",2000,805.826566423689
"52","ID-B09-P04","ID-B09","B",5.16071428571429,61.125,1731.28286224941,3,2,"Devine Canyon",2000,854.734756469727
"53","ID-B09-P05","ID-B09","B",6.49122807017544,52.5438596491228,1669.13338797433,4,-1,"Devine Canyon",2000,412.383035165292
"54","ID-B09-P06","ID-B09","B",5.74074074074074,51.8148148148148,1699.24827971282,3,6,"Devine Canyon",2000,652.460557725694
"55","ID-B09-P07","ID-B09","B",6.48148148148148,55.8333333333333,1736.07417515346,3,-1,"Devine Canyon",2000,890.229713295991
"56","ID-B09-P08","ID-B09","B",5.28571428571429,57.75,1748.42880362052,3,-1,"Devine Canyon",2000,778.447635105678
"57","ID-B09-P09","ID-B09","B",8.5,52.7037037037037,1692.93948025174,4,8,"Devine Canyon",2000,460.381993519176
