"","Full.Point.ID","Point.ID","Route.ID","UTM.X","UTM.Y","Geo.X","Geo.Y","Route.Type"
"65","ID-B11-P13","13","ID-B11",297649.3796,4663579.993,-113.4470308,42.09823183,"B"
"66","ID-B11-P14","14","ID-B11",297894.629,4663581.163,-113.444068,42.09830555,"B"
"67","ID-B11-P15","15","ID-B11",298139.8778,4663582.342,-113.4411052,42.09837927,"B"
"68","ID-B11-P16","16","ID-B11",298385.126,4663583.529,-113.4381424,42.09845298,"B"
"69","ID-B11-P09","09","ID-B11",297648.1576,4663824.333,-113.4471301,42.10043016,"B"
"70","ID-B11-P10","10","ID-B11",297893.3985,4663825.503,-113.4441673,42.10050388,"B"
"71","ID-B11-P11","11","ID-B11",298138.6388,4663826.681,-113.4412046,42.10057759,"B"
"72","ID-B11-P12","12","ID-B11",298383.8785,4663827.868,-113.4382418,42.1006513,"B"
"73","ID-B11-P05","05","ID-B11",297646.9362,4664068.665,-113.4472295,42.10262842,"B"
"74","ID-B11-P06","06","ID-B11",297892.1687,4664069.835,-113.4442667,42.10270213,"B"
"75","ID-B11-P07","07","ID-B11",298137.4005,4664071.012,-113.4413039,42.10277584,"B"
"76","ID-B11-P08","08","ID-B11",298382.6317,4664072.198,-113.4383411,42.10284955,"B"
"77","ID-B11-P01","01","ID-B11",297645.7155,4664312.989,-113.4473288,42.1048266,"B"
"78","ID-B11-P02","02","ID-B11",297890.9394,4664314.158,-113.444366,42.1049003,"B"
"79","ID-B11-P03","03","ID-B11",298136.1628,4664315.335,-113.4414033,42.10497401,"B"
"80","ID-B11-P04","04","ID-B11",298381.3856,4664316.52,-113.4384405,42.10504772,"B"
"81","ID-B12-P14","14","ID-B12",262142.6992,4665049.256,-113.8765251,42.10149382,"B"
"82","ID-B12-P15","15","ID-B12",262387.984,4665048.209,-113.873562,42.1015587,"B"
"83","ID-B12-P16","16","ID-B12",262633.2682,4665047.17,-113.8705988,42.10162357,"B"
"84","ID-B12-P09","09","ID-B12",262878.5518,4665046.141,-113.8676357,42.10168844,"B"
"85","ID-B12-P10","10","ID-B12",262143.6934,4665293.632,-113.8766126,42.10369232,"B"
"86","ID-B12-P11","11","ID-B12",262388.9697,4665292.584,-113.8736494,42.10375719,"B"
"87","ID-B12-P12","12","ID-B12",262634.2455,4665291.545,-113.8706863,42.10382206,"B"
"88","ID-B12-P13","13","ID-B12",262879.5205,4665290.515,-113.8677231,42.10388693,"B"
"89","ID-B12-P05","05","ID-B12",262144.6881,4665537.999,-113.8767,42.10589074,"B"
"90","ID-B12-P06","06","ID-B12",262389.9559,4665536.951,-113.8737369,42.10595561,"B"
"91","ID-B12-P07","07","ID-B12",262635.2232,4665535.912,-113.8707737,42.10602048,"B"
"92","ID-B12-P08","08","ID-B12",262880.4899,4665534.881,-113.8678106,42.10608535,"B"
"93","ID-B12-P01","01","ID-B12",262145.6834,4665782.358,-113.8767874,42.10808909,"B"
"94","ID-B12-P02","02","ID-B12",262390.9427,4665781.31,-113.8738243,42.10815395,"B"
"95","ID-B12-P03","03","ID-B12",262636.2015,4665780.27,-113.8708611,42.10821882,"B"
"96","ID-B12-P04","04","ID-B12",262881.4597,4665779.238,-113.867898,42.10828368,"B"
"97","ID-B13-P13","13","ID-B13",240712.31,4674206.186,-114.1394008,42.17705597,"B"
"98","ID-B13-P14","14","ID-B13",240956.6848,4674188.314,-114.1364383,42.17697613,"B"
"99","ID-B13-P15","15","ID-B13",241201.0602,4674170.45,-114.1334758,42.1768963,"B"
"100","ID-B13-P16","16","ID-B13",241445.4361,4674152.594,-114.1305134,42.17681647,"B"
"101","ID-B13-P09","09","ID-B13",240730.186,4674449.653,-114.1392931,42.17925135,"B"
"102","ID-B13-P10","10","ID-B13",240974.5523,4674431.781,-114.1363306,42.17917152,"B"
"103","ID-B13-P11","11","ID-B13",241218.9193,4674413.918,-114.1333681,42.17909169,"B"
"104","ID-B13-P12","12","ID-B13",241463.2867,4674396.063,-114.1304056,42.17901186,"B"
"105","ID-B13-P05","05","ID-B13",240748.0615,4674693.111,-114.1391854,42.18144665,"B"
"106","ID-B13-P06","06","ID-B13",240992.4193,4674675.24,-114.1362229,42.18136682,"B"
"107","ID-B13-P07","07","ID-B13",241236.7778,4674657.377,-114.1332604,42.181287,"B"
"108","ID-B13-P08","08","ID-B13",241481.1367,4674639.523,-114.1302979,42.18120717,"B"
"109","ID-B13-P01","01","ID-B13",240765.9364,4674936.561,-114.1390776,42.18364188,"B"
"110","ID-B13-P02","02","ID-B13",241010.2858,4674918.691,-114.1361152,42.18356205,"B"
"111","ID-B13-P03","03","ID-B13",241254.6357,4674900.828,-114.1331527,42.18348223,"B"
"112","ID-B13-P04","04","ID-B13",241498.9863,4674882.974,-114.1301902,42.1834024,"B"
"113","ID-B15-P01","01","ID-B15",259991.9414,4660096.572,-113.9004719,42.05628988,"B"
"114","ID-B15-P05","05","ID-B15",259992.3541,4659852.01,-113.9003668,42.05409017,"B"
"115","ID-B15-P09","09","ID-B15",259992.7674,4659607.44,-113.9002616,42.05189038,"B"
"116","ID-B15-P13","13","ID-B15",259993.1816,4659362.862,-113.9001565,42.04969052,"B"
