"","Full.Point.ID","UTM.X","UTM.Y","Sage.Cover","Shrub.Cover","Perennial.Cover","Annual.Cover","Bare.Ground.Cover","TRI","Elevation","Aspect","Fire.Dist","Tree.Cover","Burned","mean.rdnbr","Fire.Year","Fire.Count"
"1","UT-B05-P01",253952.6817,4604083.792,1.78571428571429,4.05357142857143,31.5535714285714,11.6964285714286,50.6428571428571,0.85664849532278,1555.70732464707,-1,371.175892300076,0,1,627.628270116346,2018,1
"2","UT-B05-P02",254204.5852,4604082.755,2.16666666666667,4.27777777777778,26.2592592592593,7.74074074074074,53.6111111111111,1.37681110088642,1551.98948786809,-1,159.476533112703,0,1,722.934591192948,2018,1
"3","UT-B05-P03",254456.4894,4604081.72,2.01851851851852,4.24074074074074,26.0185185185185,7.24074074074074,53.6666666666667,2.906615121024,1556.48964800153,-1,121.079234229194,0,1,926.208685857599,2018,1
"4","UT-B05-P04",254707.8721,4604085.857,1.92857142857143,4.17857142857143,22.25,5.83928571428571,57.9285714285714,7.64472311514395,1578.82994249132,1,162.44073971835,0,1,1127.74669320243,2018,1
"5","UT-B05-P05",253952.7755,4603835.508,1.94444444444444,4,27.5555555555556,8.90740740740741,54.037037037037,1.18174517596209,1562.07380054615,-1,509.024679287997,0,1,982.602818415715,2018,1
"6","UT-B05-P06",254204.6796,4603834.47,1.88888888888889,4,22.0555555555556,5.75925925925926,59.0555555555556,5.10536863092791,1585.13079726905,-1,369.37677751021,0,1,1524.41317053008,2018,1
"7","UT-B05-P07",254456.5846,4603833.434,1.94545454545455,3.98181818181818,24.2727272727273,6.76363636363636,56.6727272727273,4.34561157226562,1571.05773699725,-1,356.859639974741,0,1,1068.25662005389,2018,1
"8","UT-B05-P08",254708.4906,4603832.398,2.03846153846154,4.25,22.0384615384615,5.88461538461539,59.75,7.08198186700994,1581.2170143821,6,350.008223100142,0,1,1445.59238225763,2018,1
"9","UT-B05-P09",253952.8686,4603587.225,1.94444444444444,3.98148148148148,27.5185185185185,9.09259259259259,55,0.947896039044416,1560.57017912688,-1,506.625366210938,0,1,750.087632315499,2018,1
"10","UT-B05-P10",254204.7735,4603586.186,1.83333333333333,4,25.7592592592593,7.68518518518519,55.1666666666667,4.07369913373675,1570.09192548479,-1,402.771832736033,0,1,917.352049710458,2018,1
"11","UT-B05-P11",254456.6794,4603585.148,1.8,4,21.8727272727273,5.90909090909091,59.6181818181818,3.75552118474787,1553.73552911932,-1,375.564485248766,0,1,933.881870202851,2018,1
"12","UT-B05-P12",254708.5862,4603584.111,1.63636363636364,3.98181818181818,26.0727272727273,8.8,54.1818181818182,1.70820080792462,1543.02232982494,-1,243.755002524636,0,1,863.60414995466,2018,1
"13","UT-B05-P13",253952.9612,4603338.941,1.64285714285714,4,24.3928571428571,7.26785714285714,58.5357142857143,0.569146451083097,1554.61690784801,-1,304.830459594727,0,1,750.791853994693,2018,1
"14","UT-B05-P14",254204.8669,4603337.902,2,4.23636363636364,23.2727272727273,6.49090909090909,57.9090909090909,1.40933931790865,1550.63930100661,-1,163.747905371324,0,1,1128.76231196889,2018,1
"15","UT-B05-P15",254456.7735,4603336.863,4.25454545454545,9.32727272727273,19.8545454545455,5.58181818181818,57.6363636363636,1.61042840140206,1540.98662022182,-1,149.49304115989,0,1,396.085800307138,2018,1
"16","UT-B05-P16",254708.681,4603335.825,1.96428571428571,4.10714285714286,33.2321428571429,12.125,45.4821428571429,0.667141101978443,1533.86654550058,-1,85.4534831653942,0,1,678.424369812012,2018,1
"17","UT-B06-P01",253700.0231,4598064.311,1.89090909090909,4,27.3636363636364,8.47272727272727,53.3636363636364,1.65334122269242,1544.11996346933,-1,1665.41886029925,0,1,1101.77739247105,2018,1
"18","UT-B06-P02",253951.9394,4598063.148,1.92592592592593,4,26.2962962962963,8.12962962962963,53.7037037037037,3.78262634277344,1539.97464044744,-1,1434.72185724432,0,1,1570.7605369831,2018,1
"19","UT-B06-P03",254203.8567,4598061.986,1.90740740740741,4,26.6851851851852,9.72222222222222,52.5185185185185,3.88685494882089,1527.3594156901,-1,1188.78387129934,0,1,1187.12769357782,2018,1
"20","UT-B06-P04",254455.7748,4598060.825,1.9811320754717,4,25.3396226415094,8.32075471698113,55.1698113207547,1.65865898132324,1514.13277762277,-1,946.210972377232,0,1,687.297715036493,2018,1
"21","UT-B06-P05",253700.0026,4597816.044,1.92727272727273,4,25.9272727272727,9.03636363636364,55.4,0.912634107801649,1532.65758147063,-1,1711.61230024858,0,1,958.285739831757,2018,1
"22","UT-B06-P06",253951.9197,4597814.88,1.94444444444444,4,24.5740740740741,7.51851851851852,55.7037037037037,2.05464962550572,1541.37786647252,-1,1469.77642596209,0,1,1036.84247713956,2018,1
"23","UT-B06-P07",254203.8377,4597813.716,1.98181818181818,3.96363636363636,23.0727272727273,6.74545454545455,57.2181818181818,3.1784307039701,1548.41411414513,-1,1217.14436396846,0,1,1096.05489202131,2018,1
"24","UT-B06-P08",254455.7566,4597812.554,1.98148148148148,4,23.7037037037037,7.2962962962963,56.8703703703704,2.83033343723842,1524.13149806431,-1,969.331639042607,0,1,1178.64842280635,2018,1
"25","UT-B06-P09",253699.9815,4597567.777,1.4,3.92727272727273,39.3818181818182,18.0727272727273,40.3818181818182,0.728364449960214,1525.30722611039,-1,1662.04836978552,0,1,961.889785766602,2018,1
"26","UT-B06-P10",253951.8993,4597566.612,1.74074074074074,3.81481481481481,26.537037037037,8.57407407407407,54.5185185185185,2.43822723964475,1529.60102124484,-1,1438.4789506392,0,1,833.136902945382,2018,1
"27","UT-B06-P11",254203.8181,4597565.447,1.40740740740741,3.7037037037037,26.7592592592593,9.74074074074074,54.5740740740741,3.51058115277972,1525.96759905134,-1,1215.26789293791,0,1,908.319805353338,2018,1
"28","UT-B06-P12",254455.7377,4597564.284,1.92857142857143,4,22.4107142857143,6.92857142857143,59.4107142857143,1.87471432156033,1512.77355052807,-1,993.645391610953,0,1,1072.7249124092,2018,1
"29","UT-B06-P13",253699.9597,4597319.51,1.66071428571429,3.94642857142857,36.6964285714286,13.9642857142857,44.1071428571429,0.736818348277699,1519.4593639027,-1,1544.38018572772,0,1,847.404936654227,2018,1
"30","UT-B06-P14",253951.8784,4597318.344,1.37037037037037,3.74074074074074,37.8888888888889,13.1851851851852,43.2777777777778,1.53388977050781,1515.16456434462,-1,1338.85454870153,0,1,1064.75929875959,2018,1
"31","UT-B06-P15",254203.7979,4597317.178,1.77777777777778,3.90740740740741,21.0925925925926,6.85185185185185,61.0555555555556,0.933407487540409,1509.00892165612,-1,1102.31278559847,0,1,870.885130746024,2018,1
"32","UT-B06-P16",254455.7183,4597316.014,1.94642857142857,4,19.7678571428571,6.35714285714286,62.3214285714286,1.00245033120209,1502.09928231869,-1,879.128164018903,0,1,897.863124140987,2018,1
"33","UT-C05-P01",254436.2131,4602207.343,10.9423076923077,18.1346153846154,21.0769230769231,5.57692307692308,46.75,0.468742653175637,1536.6791087963,-1,-665.953072026091,0,0,0,1800,0
"34","UT-C05-P02",254688.1209,4602207.301,10.2037037037037,17.0185185185185,27.6481481481481,9.07407407407407,39.2592592592593,1.1538896040483,1536.27143776634,-1,-898.668340718971,0,0,0,1800,0
"35","UT-C05-P03",254940.0294,4602207.26,10.2592592592593,17.1851851851852,28.4814814814815,9.37037037037037,37.7037037037037,1.44134188565341,1534.46534756747,-1,-953.129542598018,0,0,0,1800,0
"36","UT-C05-P04",255191.9391,4602207.221,10.1296296296296,17.4814814814815,24.1296296296296,7.68518518518519,42.5740740740741,0.642169082373903,1526.16343715735,-1,-983.995761447483,0,0,0,1800,0
"37","UT-C05-P05",254437.2977,4601959.068,11.8214285714286,19.1785714285714,21.4821428571429,5.41071428571429,44.2678571428571,0.46222178141276,1532.57823802807,-1,-691.450651945891,0,0,0,1800,0
"38","UT-C05-P06",254689.2062,4601959.025,11.9814814814815,19.2592592592593,19.3518518518519,5.22222222222222,46.7777777777778,0.662422180175781,1529.46343768084,-1,-875.658470153809,0,0,0,1800,0
"39","UT-C05-P07",254941.1157,4601958.983,9.14814814814815,15.6481481481481,28.5,9.7037037037037,39.4444444444444,0.805582863943917,1525.12093026297,-1,-1052.0910045277,0,0,0,1800,0
"40","UT-C05-P08",255193.026,4601958.943,10.3392857142857,17.8928571428571,21.5535714285714,6.69642857142857,45.9821428571429,0.621033888596755,1520.31680063101,-1,-1201.48031503183,0,0,0,1800,0
"41","UT-C05-P09",254438.3817,4601710.794,10.9642857142857,18.4285714285714,20.6607142857143,5.82142857142857,46.1785714285714,0.603797912597656,1527.75823296441,-1,-521.185243918679,0,0,0,1800,0
"42","UT-C05-P10",254690.291,4601710.75,11,17.9074074074074,22.0925925925926,6.44444444444444,45,0.52240894458912,1525.13513861762,-1,-707.490610758464,0,0,0,1800,0
